a	?:en
ben	?:Benoît
bench	?:établi
bend	?:incliner
beneath	?:sous
benedict	?:Benoît
benefit	?:intérêt
benelux	?:Benelux
bengal	?:Bengale
bent	?:courbe
benzene	?:benzène
berlin	?:Berlin
berliner	?:Berlinois
bermudas	?:Bermudes
berne	?:Berne
bernese	?:Bernois
berry	?:baie
beryllium	?:béryllium
beseech	?:solliciter
beside	?:sur
besides	?:et puis
besiege	?:assièger
bessarabia	?:Bessarabie
bet	?:parier
bethlehem	?:Bethléem
betray	?:trahir
betrothal	?:fiançailles
better	?:meilleur
between	?:entre
beverage	?:consommation
bevy	?:ensemble
bewitch	?:ensorceler
beyond	?:après
bible	?:Bible
bicycle	?:vélo
bid	?:demander
big	?:grand
bike	?:vélo
bikini	?:bikini
bile	?:amer
bilk	?:rouler
bill	?:note
bind	?:attacher
binding	?:bande
bindweed	?:liseron
binocular	?:lunette
binoculars	?:jumelles
birch	?:bouleau
bird	?:oiseau
birth	?:naissance
birthday	?:anniversaire
biscuit	?:biscuit
bishop	?:évêque
bison	?:bison
bit	?:pièce
bite	?:mordre
bitter	?:amer
bitterness	?:âcreté
bizarre	?:bizarre
black	?:noir
blackberry	?:mûre sauvage
blackbird	?:merle
bladder	?:bulle
blade	?:chaume
blame	?:reprendre
bland	?:doucereux
blank	?:blanc
blanket	?:couverture
blaspheme	?:blasphémer
bleak	?:froid
bleat	?:bêler
blend	?:retourner
bless	?:bénir
blind	?:aveugle
blister	?:ampoule
block	?:bloc
blockade	?:se mettre en
blond	?:blond
blood	?:sang
bloom	?:fleur
blot	?:tache
blotter	?:papier buvard
blouse	?:blouse
blow	?:coup
blue	?:bleu
bluebeard	?:Barbe‐Bleue
blueberry	?:myrtille
blush	?:rougir
blushing	?:rouge
boa	?:boa
boar	?:verrat
board	?:panneau
boast	?:faire le malin
boat	?:bateau
bobbin	?:bobine
body	?:corps
boer	?:Boer
bohemia	?:Bohême
bohemian	?:Bohémien
boil	?:bouillir
boiler	?:chaudron
bold	?:gros
boldness	?:audace
bolivia	?:Bolivie
bolivian	?:Bolivien
bolt	?:verrouiller
bomb	?:bombe
bombard	?:bombarder
bonbon	?:bonbon
bond	?:lien
bone	?:os
bony	?:osseux
book	?:livre
bookcase	?:bibliothèque
bookseller	?:libraire
bookshop	?:librairie
bookstore	?:librairie
boot	?:botte
border	?:bord
bore	?:rencontrer
boring	?:ennuyeux
borrow	?:prêter
bosnia	?:Bosnie
bosnian	?:bosnien
bosom	?:sein
bosporus	?:Bosphore
boss	?:chef
botch	?:gâcher
