woordenboek	n:dictionary
basilisk	n:a basilisk
beet	n:bite
canon	n:canon
carthago	n:Carthage
puppy	n:puppy
hop	n:hoopoe|?:synonym of hoppa
tender	n:tender
mode	n:fashion
wit	n:white|v:imperative|adj:white
hen	n:hen|?:them
aquarium	n:aquarium
fucking	adj:fucking|adv:fucking
doe	v:imperative
does	adj:sleepy
kip	n:a chicken
worm	n:worm|v:imperative
vos	n:fox|v:imperative
bark	n:the bark of certain trees
marine	n:a navy
rouge	n:rouge
canvas	n:canvas
socialist	n:socialist
detonator	n:detonator
tumult	n:tumult
beauty	n:a beauty
cup	n:cup
comfort	n:physical comfort
kitten	n:a young cat|v:to apply sealant to
steward	n:steward
jij	v:imperative|?:you
speech	n:speech
sinister	adj:sinister
hark	n:rake|v:imperative
atm	n:automated teller machine
ticket	n:ticket or voucher
token	n:token
hola	?:hallo
quarantaine	n:a quarantine
polen	n:Poland
trio	n:trio
detail	n:detail
leer	n:leather|v:imperative
leger	n:army|v:imperative
gel	n:gel
jam	n:jam
dandy	n:dandy
fop	v:imperative
incubus	n:an incubus
cricket	n:cricket
ter	?:for
moor	n:something black
eunuch	n:a eunuch
latte	n:latte|v:singular past indicative
balustrade	n:balustrade
trap	n:stairs|v:imperative
tor	n:beetle
ren	n:a run|v:imperative
ken	v:imperative
bon	n:receipt
bom	n:bomb
bok	n:male goat|v:imperative
mos	n:swamp
reuk	n:smell
hout	n:wood|v:imperative
fik	n:dog's name|v:imperative
den	n:pine|?:the
bos	n:wood
zon	n:sun|v:imperative
reus	n:giant
schuil	v:imperative
buil	n:a bruise
tuil	n:bouquet of flowers
ruil	n:swap|v:imperative
huil	v:imperative
muil	n:a person's face|v:imperative
mout	n:malt
bout	n:bolt
fout	n:error|adj:wrong
zout	n:salt|v:imperative|adj:salted
tik	n:tick|v:imperative
sik	n:beard of a goat
dik	adj:thick|adv:well
mik	n:loaf of bread|v:imperative
lik	n:lick|v:imperative
weg	n:way|adv:away
giet	v:imperative
ziet	v:plural imperative
riet	n:reed
hik	n:hiccup
neus	n:nose
pagina	n:page
zeg	v:imperative|?:hey
heg	n:hedge
wijs	n:tune|v:imperative|adj:wise
hijs	v:imperative
gijs	n:a male given name
haas	n:hare
eend	n:A duck
gaat	v:plural imperative
naar	adj:nasty|prep:to
eet	v:imperative
op	adj:up|adv:up|prep:on
kom	n:bowl|v:imperative
dom	n:a duomo|adj:dumb
som	n:sum
oom	n:uncle
ook	adv:also
oor	n:ear
oog	n:eye|v:imperative
zet	n:shove
voor	n:pro|prep:for|?:before
boor	n:drill|v:imperative
muur	n:wall
puur	adj:pure
zuur	n:acid|adj:sour
duur	n:duration|v:imperative|adj:expensive
zit	n:the act of sitting|v:imperative
kuur	n:treatment
kaas	n:cheese
vaas	n:vase
gaas	n:gauze
baas	n:boss
waas	n:haze
jas	n:a coat|v:imperative
rent	v:plural imperative
heilig	v:imperative|adj:holy
tape	n:tape
canard	n:duck
bolide	n:bolide
stol	n:stollen|v:imperative
ezra	n:Ezra
instrument	n:instrument
suis	v:imperative
adder	n:viper
adieu	?:farewell
schelm	n:rogue
gris	v:imperative
eigen	v:imperative|adj:own
spot	n:mockery
administrator	n:administrator
nonna	n:a young lady
halve	adj:plural attributive
afar	n:Afar
pollen	n:pollen|v:to poll
ambulance	n:ambulance
hangar	n:hangar
concubine	n:concubine
sabotage	n:sabotage
saboteur	n:saboteur
aft	n:aphtha
joker	n:joker
agenda	n:a calendar (book)
agent	n:a police officer
register	n:a register
alarm	n:alarm
interval	n:interval
ale	n:ale
alibi	n:alibi
alkali	n:alkali
allure	n:air
meerkat	n:a guenon
aloud	adj:ancient
pointer	n:pointer
amateur	n:amateur
blog	n:blog
knot	n:a knot
kam	n:a comb|v:imperative
pedo	n:pedophile
snack	n:snack|v:imperative
amen	n:a village in Aa en Hunze|?:amen
ammonia	n:ammonia solution
amuse	n:appetiser
analyse	n:analysis
anarchist	n:anarchist
tilde	v:singular past indicative
sketch	n:sketch
rubber	n:rubber
gene	adj:plural attributive|?:one
kongo	n:Kongo
demon	n:genius
manx	n:Manx Gaelic|adj:of
maya	n:a Maya
carillon	n:carillon
gloednieuw	adj:brand new
spiksplinternieuw	adj:brand new
orthodox	adj:orthodox
nou	adv:come on|?:so
duit	n:a doit
pisang	n:banana
film	n:a film
dan	adv:then|prep:but|?:than
sranan	n:synonym of Suriname
bord	n:plate
genotype	n:genotype
ante	n:anta
apart	adj:separate
huishoudhulp	n:household help
niche	n:a niche
-ie	?:a variant of -ij
step	n:kick scooter
steppe	n:steppe
ski	n:ski|v:imperative
move	n:move|v:imperative
farao	n:pharaoh
roof	n:robbery|v:imperative
piste	n:piste|v:singular past indicative
oven	n:oven
fee	n:fairy
manager	n:a manager
gele	adj:plural attributive
tri-	?:tri-
sneer	n:snide remark
åland	n:Åland
snot	n:snot
drop	n:droplet
kilo-	?:kilo-
mega-	?:mega-
urine	n:urine
even	adj:even|adv:shortly
nerf	n:grain of wood
anus	n:anus
ever	n:wild boar
expert	n:expert
micro-	?:micro-
hotel	n:hotel
hostel	n:hostel
pico-	?:pico-
bi-	?:bi-
massa	n:mass
insecticide	n:pesticide
hoofdpagina	n:main page
gum	n:an eraser
dessert	n:a dessert
crucifix	n:a crucifix
bob	n:designated driver
propeller	n:a propeller
over	adv:over|prep:over
anti-	?:anti-
roe	n:bundle of twigs
uni	adj:plain
grime	n:professional make-up
adonis	n:Adonis
bloemfontein	n:Bloemfontein
eggen	v:to harrow
maart	n:March|v:plural imperative
duitser	n:German
spaans	n:Spanish|adj:Spanish|adv:callously
pools	n:Polish|adj:Polish
griek	n:Greek
engels	n:English|adj:English
deur	n:door
bier	n:beer
japans	n:Japanese language|adj:Japanese
vandaag	adv:today
vliegen	v:to fly
poep	n:a fart|v:imperative
wonde	n:a neighbourhood of Almelo
slaan	v:to hit
leven	n:life|v:to live
stuk	n:a piece|adj:broken
chinees	n:Chinese|adj:Chinese
vrucht	n:fruit|v:imperative
lok	n:lock of hair|v:imperative
italiaans	n:Italian|adj:Italian
ijzer	n:iron
zwijn	n:pig
aarde	n:earth
nagel	n:a nail
rennen	v:to run
kroatisch	n:Croatian|adj:Croatian
groen	n:the colour green|adj:green
dier	n:animal|?:her
sinaasappel	n:orange
nap	n:drinking cup
roots	n:roots
inverse	n:inverse|adj:plural attributive
bratislava	n:Bratislava
pest	n:a plague|v:imperative
pesticide	n:pesticide
mono-	?:mono-
poly-	?:poly-
multi-	?:multi-
cacao	n:cocoa
eg	n:harrow|v:imperative
dos	n:garb
coma	n:coma
essay	n:essay
nor	n:jail
single	n:a single|adj:single
sleet	n:wear|v:plural imperative
panna	n:a nutmeg
t-shirt	n:T-shirt
schade	n:damage
arcade	n:arcade
thomas	n:Thomas
parameter	n:parameter
tier	v:imperative
tele-	?:tele-
thermo-	?:heat
xylo-	?:xylo-
re-	?:re-
bio-	?:life
pent-	?:pent-
hex-	?:hex-
hept-	?:hept-
oct-	?:oct-
dec-	?:dec-
octo-	?:octo-
cheers	?:cheers
toast	n:Melba toast
bottom	n:bottom
alcohol	n:alcohol
tattoo	n:tattoo
hectare	n:hectare
liter	n:litre
contra-	?:contra-
hetero-	?:hetero-
homo-	?:homo-
hobo	n:oboe
component	n:component
defect	n:a defect|adj:broken
crêpe	n:crepe
pap	n:mush|v:imperative
racist	n:racist
stage	n:probation
prop	n:a swab|v:imperative
coach	n:trainer
trainer	n:trainer
bern	n:Bern
hoe	adv:how|?:the ... the
shovel	n:loader
uranus	n:Uranus
pluto	n:Pluto
cowboy	n:cowboy
gyros	n:gyro
neo-	?:neo-
geo-	?:geo-
astro-	?:astro-
an-	?:an-: Not
whisky	n:whisky
whiskey	n:whiskey
parsec	n:parsec
object	n:object
bistro	n:a bistro
bruschetta	n:bruschetta
dys-	?:dys-
hoeden	v:to tend
socrates	n:Socrates
malt	n:malt beer
leek	n:layman|v:imperative|adj:lay
beagle	n:beagle
pester	n:a bully
de-	?:de-
di-	?:meaning two
dis-	?:dis-
eco-	?:eco-
epi-	?:above
chateau	n:château
email	n:enamel
print	v:imperative
porno	n:porn|adj:hot
broom	n:bromine
tech	n:tech (technology)
diet	n:folk
fluor-	?:fluoro-
toga	n:a toga
ex-	?:ex-
wie	n:Wie|?:who
deva	n:deva
snob	n:snob
luk	n:a male given name|v:imperative
bolus	n:a sweet
kale	adj:plural attributive
marimba	n:marimba
tornado	n:tornado
gamer	n:a gamer
lover	n:foliage
wonder	n:wonder
pasta	n:paste
starter	n:starter
beef	v:imperative
tsunami	n:tsunami
term	n:term
umlaut	n:umlaut
bemoeial	n:a busybody
tong	n:tongue
rok	n:skirt
stern	n:tern
umami	n:umami
ufo	n:UFO
smart	n:pain
hangslot	n:padlock
psyche	n:psyche
pax	n:soldier
paul	n:a male given name
bonus	n:a bonus
filter	n:a filter
actrice	n:actress
adagio	n:adage|adv:adagio
sub	n:submarine
super	adj:great|adv:very
tenor	n:tenor
fix	n:fix|v:imperative
palindroom	n:palindrome
senior	n:elderly person
junior	n:junior
pogrom	n:pogrom
eufemisme	n:euphemism
sexy	adj:sexy
agio	n:agio
agitator	n:an agitator
vale	adj:plural attributive
dale	n:a hamlet in Aalten
hol	n:a hole|v:imperative|adj:hollow
kit	n:metal can
barf	n:vomit|?:Expression of disgust
gaan	v:to be about
cataract	n:cataract
jade	n:jade
gong	n:gong
data	n:data
courgette	n:a courgette
placenta	n:placenta
madam	n:madam
duet	n:a duet
spaanse	n:female Spanish person|adj:plural attributive
purmerend	n:Purmerend
zwaard	n:a sword
kamer	n:a room
albatros	n:albatross
albino	adj:albino
album	n:album
chant	v:imperative
monster	n:a monster|v:imperative
reed	v:imperative
sabel	n:sabre (Commonwealth)
golem	n:a golem
engel	n:angel
-icus	?:-ic or -ician
por	n:a poke|v:imperative
para	n:para|adj:synonym of paranoïde
bravo	?:bravo!
io	?:io
zee	n:sea
ego	n:ego
amulet	n:amulet
claudia	n:a female given name
web	n:web
zuigeling	n:suckling
hermitage	n:hermitage
protest	n:protest
zap	v:imperative
wade	n:shroud
royal	n:royal
frank	n:Frank|adj:frank
bogen	v:to (cause to) bend
regen	n:rain|v:imperative
sherry	n:sherry
gent	n:gander
boef	n:crook
blend	v:imperative
dab	n:the dab
lab	n:lab
bromide	n:bromide
fax	n:fax|v:imperative
virus	n:virus
armeens	n:Armenian|adj:Armenian
tour	n:tour
limousine	n:limousine
abo	n:subscription
abt	n:an abbot
moot	n:a thick slice or a cut
brand	n:destructive|v:imperative
les	n:course|v:imperative
trias	n:triad
keeper	n:keeper
klonken	v:plural past indicative
eten	n:food|v:to eat
gate	n:airport gate
kea	n:the kea
falafel	n:falafel
niente	?:nothing
odessa	n:Odessa
texas	n:Texas
bacon	n:back bacon
fragment	n:a fragment
pardon	n:pardon|?:I'm sorry
cult	n:cult
clochard	n:vagrant
conform	prep:in accordance with
babylon	n:Babylon (an ancient city
vast	v:imperative|adj:firm|adv:almost
manoeuvre	n:maneuver
maleis	n:the Malay language|adj:Malay
diner	n:dinner
serre	n:conservatory room
première	n:premiere
kumquat	n:kumquat
coup	n:a coup
anno	adv:in the year
clou	n:punch line
hooligan	n:hooligan
incident	n:an incident
peter	n:a male given name
cru	adj:crude
jus	n:gravy
plu	n:umbrella
tumor	n:tumour
kot	n:bad
lis	n:iris
clan	n:clan
triskelion	n:triskelion
monitor	n:screen
cabriolet	n:cabriolet
tachyon	n:tachyon
jap	n:a Jap
nip	v:imperative
incest	n:incest
immense	adj:plural attributive
past	v:plural imperative
present	n:present|adj:present
vagina	n:vagina
trant	n:manner
trapezium	n:a trapezium
occasion	n:secondhand automobile
ode	n:ode
omelet	n:omelette
pact	n:pact
pad	n:path
page	n:page
park	n:park
architect	n:architect
professor	n:professor
performance	n:performance
perverse	adj:plural attributive
pirouette	n:pirouette
taxi	n:a taxi
quotum	n:quota
mes	n:knife
waag	n:weighing scales|v:imperative
maestro	n:maestro
bleu	adj:timid
libel	n:dragonfly
formule	n:formula
adam	n:Adam
paste	n:paste|v:singular past indicative
ma	n:mother
clown	n:clown
part	n:part
azalea	n:azalea
trema	n:diaresis
avifauna	n:avifauna
benzine	n:petrol
golf	n:wave|v:imperative
sec	adj:dry
jazz	n:jazz
bokken	v:to tell off
mag	v:imperative
maker	n:maker
dossier	n:dossier
sauna	n:sauna
val	n:a fall|v:imperative
tra	n:path in the forest
zo	adv:so|?:if
sup	n:a standup paddleboard
andreas	n:Andrew
frigo	n:fridge
oxide	n:oxide
d'	prep:apocopic form of de: the
pal	n:catch|adv:firm
con-	?:con-
spaghetti	n:spaghetti
mat	n:rug|v:imperative|adj:matte
nest	n:a nest
joystick	n:joystick
silo	n:a silo
enigma	n:enigma
mier	n:ant
rest	n:rest
plat	n:dialect|adj:flat
brie	n:brie
baker	n:a midwife|v:imperative
visum	n:visa
brada	n:bro
reis	n:travel|v:imperative
autobus	n:bus
mercurius	n:the planet Mercury
serene	adj:plural attributive
david	n:David
des	n:D-flat|?:the
exploit	n:exploit
springbok	n:the springbok
dot	n:a tuft
diameter	n:diameter
pre-	?:pre-
rare	n:weird person|adj:plural attributive
database	n:database
fez	n:fez
cappuccino	n:cappuccino
gallon	n:gallon
senator	n:senator
testament	n:testament
chinchilla	n:chinchilla
kraken	n:Kraken|v:with voor (“for”)
keel	n:throat
cheat	n:cheat
buldog	n:a bulldog
babbelen	v:to chatter
disco	n:a discotheque
seder	n:seder
yo	?:yo
veertig	n:forty
vijftig	n:fifty
zestig	n:sixty
zeventig	n:seventy
protocol	n:protocol
opium	n:opium
twist	n:strife
gibbon	n:gibbon
frame	n:frame
frequent	adj:frequent
modern	adj:modern
moderne	adj:plural attributive
grip	n:hold
verse	adj:plural attributive
moi	?:hi
judoka	n:judoka
zombie	n:zombie
inter-	?:inter-
geestdrift	n:enthusiasm
brownie	n:brownie
snorkel	n:snorkel
tam	adj:tame
jak	n:yak
yell	n:yell
januari	n:January
februari	n:February
oktober	n:October
oligarchie	n:oligarchy
tot	prep:to|?:until
milieu	n:environment
rank	n:tendril|adj:slender
pocket	n:a pocket book
schaduw	n:shade|v:imperative
contact	n:physical contact
surprise	n:a surprise gift
loden	adj:leaden
tag	n:tag
intellect	n:intellect
-ium	?:-ium
blogger	n:blogger
lier	n:lyre
flop	n:a failure|v:imperative
diskette	n:floppy disk
miriam	n:a female given name
zeef	n:screen|v:imperative
slot	n:lock
boxer	n:boxer
lipstick	n:lipstick
hip	adj:genteel
embryo	n:embryo
kuit	n:calf
fresco	n:fresco
pere	n:father
gist	n:yeast|v:imperative
plot	n:plot|v:imperative
pentagram	n:pentagram
soap	n:soap opera
mild	adj:mild
soft	adj:soft
terrorist	n:a terrorist
stamp	v:imperative
station	n:station
mascara	n:mascara
pus	n:pus
fitte	adj:plural attributive
barrel	n:standard oil barrel
mong	n:mong
moa	n:moa
cultivar	n:cultivar
laden	v:to charge
-al	?:-al
acne	n:acne
charge	n:a charge
editor	n:editor
collier	n:necklace
significant	adj:significant
-s	?:Used to form some adverbs
boiler	n:water heater
foyer	n:foyer
strand	n:beach|v:imperative
record	n:a record
col	n:collar
cider	n:cider
haver	n:Avena sativa|v:imperative
vest	n:fortified wall
vet	n:fat|adj:fat|adv:very
these	n:statement
tbilisi	n:Tbilisi
wast	v:plural imperative
rap	n:rap music|adj:quick
joint	n:joint
eek	n:oak bark
bever	n:beaver
salet	n:a salon
late	adj:plural attributive
later	adv:later|?:bye
wig	n:wedge
rumba	n:rumba
target	n:target
wees	n:an orphan
underdog	n:underdog
bard	n:bard
hacker	n:a hacker
lei	n:slate
level	n:level
mist	n:fog|v:plural imperative
transfer	n:transfer
robert	n:a male given name
erin	adv:+ het
tim	n:a male given name
malle	n:someone who acts silly|adj:indefinite plural
palaver	n:A discussion or debate.
hadji	n:hajji
quark	n:quark
mix	n:mix
studio	n:a studio flat/apartment
loot	n:a sprout|v:imperative
ion	n:ion
stereo	n:a stereo set|adj:stereo|adv:stereo
stress	n:stress|v:imperative
pylon	n:a traffic cone
manja	n:mango
dingo	n:dingo
model	n:model
guy	n:guy
glucose	n:glucose
sucrose	n:sucrose
fructose	n:fructose
-ose	?:-ose
funk	n:funk
musket	n:musket
mest	n:dung
resort	n:a resort
redundant	adj:redundant
's	adv:once
cannabis	n:cannabis
bint	n:heavy wooden beam
ark	n:ark
yen	n:yen
stoned	adj:stoned
-on	?:-one
recalcitrant	adj:recalcitrant
client	n:client
bouquet	n:aroma
malaria	n:malaria
claim	v:imperative
aster	n:aster
mamba	n:a mamba
ginder	adv:yonder
ginds	adv:over there
contract	n:contract
export	n:export
conflict	n:a conflict
stemming	n:mood
wild	n:game|adj:wild
helper	n:one who helps
excellent	adj:excellent
rage	n:craze
opera	n:opera
team	n:team
eureka	?:eureka
yurt	n:yurt
circa	adv:circa: about|prep:circa: about
joh	?:Used to address someone
sport	n:a sport|v:imperative
shag	n:shag
plug	n:wall plug
genre	n:kind
elegant	adj:elegant
codicil	n:codicil
ouzo	n:ouzo
verachten	v:to scorn
verafschuwen	v:to loathe
blitzkrieg	n:blitzkrieg
seppuku	n:seppuku
orion	n:Orion
dapper	adj:brave
doen	n:routine|v:to be different
triage	n:triage
anagram	n:anagram
alex	n:a male given name
imam	n:imam
europa	n:Europe
kloof	n:gap|v:imperative
hals	n:the neck
dirk	n:topping lift
kris	n:kris
cocktail	n:cocktail
sax	n:sax
pook	n:poker
blind	n:window shutter|adj:blind
jo	?:hi
aspect	n:aspect
blush	n:blush
redden	v:to save
salvo	n:salvo
dancing	n:dancehall
hostie	n:host
autodidact	n:autodidact
mors	v:imperative
rugby	n:rugby|v:imperative
abe	n:a male given name
alfabet	n:alphabet
pathos	n:pathos
adobe	n:adobe
alp	n:alp
clique	n:clique, coterie
angst	n:fear
anode	n:anode
aorta	n:aorta
argus	n:Argus
atrium	n:atrium
babel	n:Babylon (an ancient city
balk	n:a beam|v:imperative
barre	adj:plural attributive
bate	n:dative singular of baat
bibber	n:shiver|v:imperative
boa	n:boa
bode	n:messenger
butyl	n:butyl
cervix	n:neck
chic	adj:chic
coca	n:coca
corona	n:corona
hadron	n:hadron
bebop	n:bebop
dammer	n:a player of checkers
delft	n:Delft|v:plural imperative
diode	n:diode
dogger	n:dogger
dor	adj:dry
dram	v:imperative
duffel	n:duffel coat
dun	n:a hamlet in Hilvarenbeek|v:imperative|adj:thin
dunner	adj:comparative degree of dun
dynamo	n:dynamo
eider	n:a type of seaduck
eland	n:elk
emmer	n:bucket|v:imperative
epoxy	n:epoxy resin
ere	n:dative singular of eer
erg	adj:serious|adv:very
ethyl	n:ethyl
faro	n:a type of beer
filet	n:filet
fjord	n:fjord
gage	n:wage for work performed
gala	n:a ceremonial celebration
ganger	n:a pedestrian
gilt	v:plural imperative
hap	n:bite|v:imperative
holm	n:a small island
holt	n:a hamlet in Dalfsen|v:plural imperative
humus	n:humus
hunker	v:imperative
ibis	n:ibis
iris	n:iris
jute	n:jute
kelp	n:kelp
kern	n:nucleus
khan	n:a khan
kola	n:a kola tree
laster	n:slander|v:imperative
lavabo	n:sink
lemma	n:lemma
loge	n:theatre box
lolly	n:lollipop
luxe	n:luxury|adj:luxurious
lysine	n:lysine
macho	n:a macho male|adj:macho
magma	n:magma
meed	n:Mede
methyl	n:methyl
mica	n:mica
milt	n:spleen
mort	v:plural imperative
motet	n:motet
neuron	n:neuron
pas	n:pace|v:imperative|adj:fitting
pep	n:the drug speed
pion	n:pawn
pol	n:a bundle of plants
pomp	n:pump
rabat	n:discount
raster	n:grid
rep	v:imperative
rotor	n:rotor
rune	n:rune
sabra	n:Sabra
sadist	n:sadist
schema	n:visualisation
schist	n:schist
serum	n:blood serum
soma	n:a Somalian
sop	n:water with soap
spar	n:spruce|v:imperative
strop	n:a noose
tapir	n:tapir
tas	n:bag
telex	n:telex
tensor	n:tensor
vee	n:livestock
vis	n:fish|v:imperative
wadi	n:wadi
yucca	n:yucca
struggle	n:struggle|v:imperative
arrest	n:detention
troop	n:trope
arbiter	n:arbiter
banner	n:banner
biceps	n:biceps
brink	n:village green
brute	adj:plural attributive
cape	n:a cape
chef	n:a boss
concert	n:concert
debacle	n:debacle
diabetes	n:diabetes
diverse	adj:plural attributive
document	n:document
dominant	adj:dominant
douche	n:shower
drab	n:sediment
drift	n:passion
elite	n:elite
embargo	n:embargo
eminent	adj:eminent
equator	n:equator (great circle
etiquette	n:etiquette
exact	adj:exact
extra	n:something extra|adj:extra|adv:extra
extract	n:extract
fanfare	n:a fanfare
fauna	n:fauna
flap	n:flap
flirt	v:imperative
freak	n:freak
fret	n:ferret
gang	n:passageway
gap	n:gap|v:imperative
geld	n:money|v:imperative|adj:not pregnant
glans	n:lustre|v:imperative
grief	n:grievance
harmonica	n:harmonica
hater	n:hater
hinder	n:hindrance|v:imperative
horde	n:a horde
indiscreet	adj:indiscreet
intact	adj:intact
intense	adj:plural attributive
ladder	n:a ladder
lap	n:a rag|v:imperative|?:exclamation of dismay
lease	n:lease|v:imperative
lest	v:plural imperative
loom	adj:lazy|adv:lazily
lot	n:destiny
marge	n:margin
meander	n:meander
migrant	n:migrant
triceps	n:triceps brachii
node	n:dative singular of nood
pegasus	n:Pegasus
pelt	v:plural imperative
planner	n:planner
prise	n:electrical outlet
psalm	n:psalm
punk	n:punk
rag	n:spider silk
rapper	n:rapper|adj:comparative degree of rap
rave	n:rave|v:imperative
ree	n:the roe
reef	n:line drawn on the ground
repertoire	n:repertoire
reserve	n:reserve
route	n:route
scan	n:scan|v:imperative
scout	n:a scout
site	n:web site
skate	n:inline skate|v:imperative
slag	n:a blow
slap	adj:slack
snap	v:imperative
sneak	v:imperative
span	n:a span|v:imperative
spare	n:spare
stadium	n:a stage
stang	n:bar
steak	n:steak
stout	n:stout|adj:naughty
sober	adj:simple
suite	n:suite
surplus	n:a surplus value
extravagant	adj:extravagant
exorbitant	adj:exorbitant
tact	n:tact
tang	n:pliers
tart	v:imperative
teak	n:teak
tent	n:tent
tint	n:hue|v:imperative
trapper	n:bicycle pedal
trend	n:trend
vedette	n:celebrity
veil	v:imperative|adj:venal
nope	?:nope
edict	n:edict
poets	v:imperative
poet	n:loot
cis	n:C-sharp
tut	n:a dummy
smoothie	n:a smoothie
santé	?:cheers!
vanille	n:vanilla
babi	n:pig or hog in Indonesia
