a	?:een
mangosteen	?:mangisboom
manicure	?:manicuren
manifacture	?:gedoe
manifest	?:manifest
manipulate	?:omgaan met
mankind	?:mensheid
manna	?:manna
manner	?:manier
manoeuvre	?:manoeuvre
mansion	?:herenhuis
mantel	?:schoorsteenmantel
mantelpiece	?:schoorsteenmantel
mantle	?:jas
manufacture	?:maken
manure	?:mest
manuring	?:bemesting
manuscript	?:handschrift
many	?:veel
manœuvre	?:manoeuvre
map	?:kaart
maple	?:esdoorn
marble	?:marmer
march	?:lopen
margarine	?:margarine
margin	?:kant
marguerite	?:margriet
marigold	?:goudsbloem
marijuana	?:marihuana
marionette	?:marionet
maritime	?:zee‐
mark	?:slaan
market	?:markt
marketplace	?:markt
marmelade	?:jam
marriage	?:echt
married	?:getrouwd
marry	?:de man worden van
marsh	?:broek
marten	?:marter
martial	?:oorlogszuchtig
martyr	?:martelaar
marvel	?:zich verbazen
mascara	?:mascara
masculine	?:mannelĳk
mask	?:masker
mason	?:metselaar
masonic	?:vrĳmetselaars‐
masonry	?:metselwerk
masquerade	?:maskerade
mass	?:hoop
massacre	?:moorden
massage	?:massage
massive	?:massief
mast	?:mast
master	?:heer
masterful	?:bazig
masturbate	?:masturberen
mat	?:mat
match	?:match
mate	?:gemeenschap hebben
material	?:materiaal
materialize	?:verstoffelĳken
materials	?:benodigdheden
mathematical	?:wiskundig
mathematician	?:wiskundige
mathematics	?:wiskunde
matrimony	?:echt
matrix	?:matrix
matron	?:intendante
matter	?:geval
mattress	?:matras
mature	?:belegen
matzo	?:paasbrood
maw	?:opening
maxim	?:spreuk
maximum	?:maximum‐
may	?:mogen
maybe	?:misschien
mayhap	?:misschien
mayor	?:burgervader
me	?:me
mead	?:mee
meadow	?:wei
meager	?:ellendig
meal	?:eten
mealies	?:mais
mean	?:midden‐
meander	?:slingeren
meaning	?:plan
meaningless	?:zinloos
means	?:weg
meanwhile	?:vast
measles	?:mazelen
measurable	?:afzienbaar
measure	?:maat
measured	?:plechtig
measurement	?:maat
meat	?:vlees
mechanic	?:werktuigkundige
